time,room,h_interface,T_upper,T_lower
9,1F_Room2,3.0,312.8549153642465,294.94501957384455
10,1F_Room2,3.0,312.87144007548125,295.1480990786529
11,1F_Room2,3.0,312.88222797508695,295.34578402010555
12,1F_Room2,3.0,312.88950579594064,295.5382152465154
13,1F_Room2,3.0,312.89457738819215,295.72556202283414
14,1F_Room2,3.0,312.89822376528065,295.9080049374886
15,1F_Room2,3.0,312.90092381150185,296.08572670567196
16,1F_Room2,3.0,312.90297823445104,296.25890724901404
17,1F_Room2,3.0,312.90458044892205,296.4277211224209
18,1F_Room2,3.0,312.9058578713848,296.5923362440422
19,1F_Room2,3.0,312.90689643856035,296.75291335472554
20,1F_Room2,3.0,312.9077554504341,296.90960588706554
21,1F_Room2,3.0,312.9084767338517,297.0625600631103
22,1F_Room2,3.0,312.9090904120417,297.21191511704893
23,1F_Room2,3.0,312.90961860869356,297.35780358282403
24,1F_Room2,3.0,312.91007787208645,297.50035161161975
25,1F_Room2,3.0,312.9104807915926,297.639679298719
26,1F_Room2,3.0,312.91083709543216,297.7759010078013
27,1F_Room2,3.0,312.9111544093586,297.9091256858683
28,1F_Room2,3.0,312.91143878990925,298.039457165068
29,1F_Room2,3.0,312.9116951052738,298.16699444955725
30,1F_Room2,3.0,312.91192731149886,298.2918319866766
31,1F_Room2,3.0,312.91213865569085,298.41405992239714
32,1F_Room2,3.0,312.9123318275461,298.53376434140665
33,1F_Room2,3.0,312.91250907378753,298.65102749243636
34,1F_Room2,3.0,312.91267228561776,298.7659279995563
35,1F_Room2,3.0,312.912823066293,298.8785410602246
36,1F_Room2,3.0,312.91296278387716,298.9889386308915
37,1F_Room2,3.0,312.91309261282277,299.09718960094847
38,1F_Room2,3.0,312.91321356704015,299.2033599557868
39,1F_Room2,3.0,312.91332652641665,299.3075129296932
40,1F_Room2,3.0,312.9134322582497,299.4097091492713
41,1F_Room2,3.0,312.9135314346956,299.51000676803574
42,1F_Room2,3.0,312.9136246470713,299.60846159278196
43,1F_Room2,3.0,312.91371241765245,299.70512720229607
44,1F_Room2,3.0,312.91379520946373,299.8000550589277
45,1F_Room2,3.0,312.9138734344491,299.8932946135124
46,1F_Room2,3.0,312.91394746032694,299.9848934040952
47,1F_Room2,3.0,312.9140176163696,300.0748971488723
48,1F_Room2,3.0,312.91408419830015,300.1633498337402
49,1F_Room2,3.0,312.91414747245886,300.2502937948101
50,1F_Room2,3.0,312.9142076793643,300.3357697962213
51,1F_Room2,3.0,312.91426503676837,300.41981710356174
52,1F_Room2,3.0,312.91431974228783,300.5024735531818
53,1F_Room2,3.0,312.9143719756791,300.58377561766696
54,1F_Room2,3.0,312.9144219008113,300.6637584677149
55,1F_Room2,3.0,312.9144696673836,300.7424560306461
56,1F_Room2,3.0,312.91451541242446,300.81990104575976
57,1F_Room2,3.0,312.91455926160427,300.8961251167322
58,1F_Room2,3.0,312.91460133038834,300.9711587612412
59,1F_Room2,3.0,312.9146417250522,301.04503145798645
60,1F_Room2,3.0,312.9146805435781,301.1177716912649
61,1F_Room2,3.0,312.9147178764482,301.18940699324895
62,1F_Room2,3.0,312.91475380734914,301.25996398410405
63,1F_Room2,3.0,312.91478841379785,301.3294684100758
64,1F_Room2,3.0,312.91482176770006,301.3979451796641
65,1F_Room2,3.0,312.9148539358489,301.4654183979978
66,1F_Room2,3.0,312.91488498037137,301.5319113995128
67,1F_Room2,3.0,312.91491495912885,301.5974467790318
68,1F_Room2,3.0,312.914943926077,301.66204642133636
69,1F_Room2,3.0,312.9149719315898,301.7257315293164
70,1F_Room2,3.0,312.91499902275194,301.78852265077734
71,1F_Room2,3.0,312.915025243623,301.85043970397857
72,1F_Room2,3.0,312.91505063547646,301.91150200197427
73,1F_Room2,3.0,312.91507523701665,301.97172827582096
74,1F_Room2,3.0,312.91509908457544,302.0311366967141
75,1F_Room2,3.0,312.9151222122914,302.0897448971111
76,1F_Room2,3.0,312.9151446522727,302.1475699908944
77,1F_Room2,3.0,312.915166434746,302.20462859262636
78,1F_Room2,3.0,312.9151875881923,302.26093683594286
79,1F_Room2,3.0,312.91520813947085,302.316510391131
80,1F_Room2,3.0,312.9152281139334,302.37136448193274
81,1F_Room2,3.0,312.9152475355282,302.42551390161515
82,1F_Room2,3.0,312.91526642689587,302.478973028343
83,1F_Room2,3.0,312.9152848094575,302.5317558398907
84,1F_Room2,3.0,312.9153027034956,302.58387592772584
85,1F_Room2,3.0,312.9153201282289,302.6353465104956
86,1F_Room2,3.0,312.915337101881,302.686180446946
87,1F_Room2,3.0,312.91535364174393,302.73639024830175
88,1F_Room2,3.0,312.9153697642372,302.7859880901324
89,1F_Room2,3.0,312.9153854849619,302.8349858237307
90,1F_Room2,3.0,312.9154008187512,302.88339498702567
91,1F_Room2,3.0,312.91541577971685,302.93122681505315
92,1F_Room2,3.0,312.9154303812927,302.9784922500044
93,1F_Room2,3.0,312.9154446362749,303.025201950873
94,1F_Room2,3.0,312.91545855685916,303.07136630271833
95,1F_Room2,3.0,312.9154721546756,303.116995425564
96,1F_Room2,3.0,312.9154854408214,303.1620991829477
97,1F_Room2,3.0,312.9154984258906,303.20668719013804
98,1F_Room2,3.0,312.9155111200025,303.25076882203456
99,1F_Room2,3.0,312.91552353282816,303.29435322076404
100,1F_Room2,3.0,312.91553567361444,303.3374493029877
101,1F_Room2,3.0,312.9155475512074,303.3800657669313
102,1F_Room2,3.0,312.91555917407373,303.4222110991513
103,1F_Room2,3.0,312.91557055032075,303.4638935810477
104,1F_Room2,3.0,312.9155816877154,303.5051212951358
105,1F_Room2,3.0,312.9155925937019,303.5459021310857
106,1F_Room2,3.0,312.9156032754181,303.5862437915418
107,1F_Room2,3.0,312.9156137397115,303.62615379772905
108,1F_Room2,3.0,312.91562399315353,303.6656394948576
109,1F_Room2,3.0,312.9156340420535,303.7047080573324
110,1F_Room2,3.0,312.9156438924715,303.7433664937774
111,1F_Room2,3.0,312.9156535502305,303.78162165188047
112,1F_Room2,3.0,312.91566302092787,303.8194802230686
113,1F_Room2,3.0,312.91567230994633,303.8569487470183
114,1F_Room2,3.0,312.915681422464,303.8940336160094
115,1F_Room2,3.0,312.9156903634641,303.9307410791277
